,Entry,PLOT,Check,Full_sample,Sample_ID,replication,Day1Germ,Day2Germ,Day3Germ,Day4Germ,Day5Germ,kernels_remaining,Mold_kern,Cooler,note,Year,Location,Timepoint,PM_at_plating,Experiment
199,BS710-58,11149,B,Full,100,1,2,7,11,3,2,5,,,,2020,Snyder,2,19,Winter DH Germination
200,BS710-58,11149,B,Full,100,2,0,11,8,4,2,5,,,,2020,Snyder,2,19,Winter DH Germination
201,Check 6-Charles,11150,C,Full,101,1,21,9,0,0,0,0,,,,2020,Snyder,2,19,Winter DH Germination
202,Check 6-Charles,11150,C,Full,101,2,22,7,0,0,0,1,1,,,2020,Snyder,2,19,Winter DH Germination
203,BS710-60,11153,B,Half,102,1,14,18,0,0,1,2,,,,2020,Snyder,2,19,Winter DH Germination
204,BS710-60,11153,B,Half,102,2,6,17,1,2,0,4,,,,2020,Snyder,2,19,Winter DH Germination
205,BS710-61,11154,B,Half,103,1,3,14,13,0,0,0,,,,2020,Snyder,2,19,Winter DH Germination
206,BS710-61,11154,B,Half,103,2,6,22,2,0,0,0,,,,2020,Snyder,2,19,Winter DH Germination
207,BS710-62,11155,B,Half,104,1,0,0,1,7,13,9,,,,2020,Snyder,2,19,Winter DH Germination
208,BS710-62,11155,B,Half,104,2,0,0,3,9,14,4,,,,2020,Snyder,2,19,Winter DH Germination
209,BS710-63,11156,B,Half,105,1,3,18,7,2,0,1,,,,2020,Snyder,2,19,Winter DH Germination
210,BS710-63,11156,B,Half,105,2,6,15,5,1,1,2,,,,2020,Snyder,2,19,Winter DH Germination
211,BS710-64,11157,B,Full,106,1,1,3,3,6,8,8,,,,2020,Snyder,2,19,Winter DH Germination
212,BS710-64,11157,B,Full,106,2,0,2,5,8,2,12,,,,2020,Snyder,2,19,Winter DH Germination
213,BS710-66,11159,B,Full,107,1,9,13,6,1,0,1,,,,2020,Snyder,2,19,Winter DH Germination
214,BS710-66,11159,B,Full,107,2,10,13,3,2,0,2,,,,2020,Snyder,2,19,Winter DH Germination
215,BS710-67,11160,B,Half,108,1,0,2,4,7,6,11,,,,2020,Snyder,2,19,Winter DH Germination
216,BS710-67,11160,B,Half,108,2,0,2,2,5,11,10,,,,2020,Snyder,2,19,Winter DH Germination
217,BS712-68,11161,B,Full,109,1,9,17,1,0,1,2,,,,2020,Snyder,2,19,Winter DH Germination
218,BS712-68,11161,B,Full,109,2,4,20,0,1,0,5,,,,2020,Snyder,2,19,Winter DH Germination
219,BS712-69,11162,B,Full,110,1,2,6,9,10,3,0,,,,2020,Snyder,2,19,Winter DH Germination
220,BS712-69,11162,B,Full,110,2,3,11,10,4,1,1,,,,2020,Snyder,2,19,Winter DH Germination
221,BS712-70,11163,B,Full,111,1,0,0,6,3,3,18,,,,2020,Snyder,2,19,Winter DH Germination
222,BS712-70,11163,B,Full,111,2,1,2,2,8,4,13,,,,2020,Snyder,2,19,Winter DH Germination
223,BS712-71,11164,B,Half,112,1,3,16,8,3,0,0,,,,2020,Snyder,2,19,Winter DH Germination
224,BS712-71,11164,B,Half,112,2,5,19,6,0,0,0,,,,2020,Snyder,2,19,Winter DH Germination
